# utc [-], et [s], MEX2TGO [km], spoint_x [km], spoint_y [km], spoint_z [km], spoint_lon [deg], spoint_lat_sph [deg], spoint_lat [deg], emission_MEX [deg], emission_TGO [deg], spoint2MEX [km], spoint2TGO [km], lon_midpoint [deg], lat_midpoint [deg] 
2025 AUG 15 19:39:40, 808558849.2075077, 1769.7642735823902, -989.6506462409093, -497.7364771965604, -3191.548206015049, -153.3002746270443, -70.6834298588251, -70.8586189109545, 32.85932129887774, 32.86799995259712, 1905.7603848145363, 445.84740560417237, -138.70413218621633, -73.60531441490977
2025 AUG 15 19:39:41, 808558850.2083857, 1766.3491289226886, -987.2779450760593, -498.2210275508164, -3192.1996536655033, -153.22261166468616, -70.7177665818673, -70.89269601332788, 32.78976274022041, 32.79839952491417, 1903.2845229046948, 445.54715018093617, -138.6576211552204, -73.6348340116346
2025 AUG 15 19:39:42, 808558851.2092637, 1762.9396835239666, -984.9046600935216, -498.70517897773624, -3192.849392754109, -153.14468616585174, -70.75207265348331, -70.9267423880191, 32.72022491075747, 32.72882171347187, 1900.8123949783528, 445.2479363754318, -138.61091458772935, -73.66434918169001
2025 AUG 15 19:39:43, 808558852.2101415, 1759.5359709242186, -982.5308071333611, -499.18892386866355, -3193.497419575827, -153.0664976389481, -70.786347757424, -70.9607576913201, 32.65071002983546, 32.65926623458402, 1898.3440226432385, 444.94975941373053, -138.56401137688235, -73.69385982806992
2025 AUG 15 19:39:44, 808558853.2110195, 1756.1380229998238, -980.1563791130543, -499.6722596950651, -3194.14373664261, -152.98804481701637, -70.8205918132191, -70.9947419046122, 32.58121935468227, 32.58973560017959, 1895.879414345988, 444.6526271634806, -138.51691049218826, -73.72336591142954
2025 AUG 15 19:39:45, 808558854.2118975, 1752.745873274219, -977.7813738327687, -500.15518655803, -3194.788344558198, -152.90932641899778, -70.85480474062395, -71.0286949084942, 32.5117543020486, 32.52023203499852, 1893.4185815590179, 444.3565457495792, -138.4696108788631, -73.752867376421
2025 AUG 15 19:39:46, 808558855.2127755, 1749.3595549786776, -975.4058017111414, -500.63769750037187, -3195.431241202395, -152.8303417866453, -70.8889862575431, -71.06261643894345, 32.44231693495036, 32.450755947325035, 1890.9615429085188, 444.06151326422554, -138.4221114340873, -73.78236414409918
2025 AUG 15 19:39:47, 808558856.2136534, 1745.9791017471457, -973.0296599115472, -501.1197920188438, -3196.0724274763556, -152.7510896438296, -70.92313625676331, -71.0965063900642, 32.37290869982132, 32.38130961226735, 1888.508308876157, 443.76753606395465, -138.37441105421547, -73.81185613467885
2025 AUG 15 19:39:48, 808558857.2145314, 1742.6045468624404, -970.6529485436045, -501.60146700243763, -3196.711903789552, -152.67156890022244, -70.95725459890865, -71.13036462923813, 32.303531223673325, 32.31189485618392, 1886.0588927600056, 443.4746183369336, -138.3265086844355, -73.84134331035168
2025 AUG 15 19:39:49, 808558858.2154094, 1739.2359245033692, -968.2756684819108, -502.08272209649874, -3197.3496698934036, -152.59177835056386, -70.99134114530561, -71.16419098802272, 32.2341861484857, 32.24251355746969, 1883.6133069844486, 443.1827644804475, -138.27840317542206, -73.87082557484244
