# utc [-], et [s], R_T_spoint [km], R_R_spoint [km], R_MEXspointTGO [km], r_MEXTGO [km], spoint_lon [deg], spoint_lat [deg], midpoint_lon [deg], midpoint_lat [deg], emis_MEX [deg], emis_TGO [deg], emis_avg [deg], S_mutualfootprint [km^2], rho_data [-], rho_modelGRS [-], rho_modelFREND [-], dc_data [-], dc_modelGRS [-], dc_modelFREND [-], AGC_data [-], P_R_data [W], P_R_modelGRS [W], P_R_modelFREND [W], P_R_modelGRS_maxcont [W], P_R_modelFREND_maxcont [W], P_R_modelGRS_mincont [W], P_R_modelFREND_mincont [W], P_R_modelGRS_spoint [W], P_R_modelFREND_spoint [W], P_R_freespace [W], gamma_spoint [deg], C_spoint [-], topography_spoint [-], gamma_GRS_maxcont [deg], C_GRS_maxcont [-], topography_GRS_maxcont [-], gamma_FREND_maxcont [deg], C_FREND_maxcont [-], topography_FREND_maxcont [-], rho_modelGRS_spoint [-], dc_modelGRS_spoint [-], rho_modelGRS_maxcont [-], dc_modelGRS_maxcont [-], rho_modelFREND_spoint [-], dc_modelFREND_spoint [-], rho_modelFREND_maxcont [-], dc_modelFREND_maxcont [-], G_T_freespace [-], G_R_freespace [-], angle_MEX2TGO [deg], angle_TGO2MEX [deg], lat_GRS_maxcont [deg], lon_GRS_maxcont [deg], lat_FREND_maxcont [deg], lon_FREND_maxcont [deg], MEXbs_lon [deg], MEXbs_lat [deg], TGObs_lon [deg], TGObs_lat [deg] 
2025 AUG 15 19:39:22, 808558831.1917044, 1950.9463097967705, 451.4282883970985, 2402.3745981938687, 1832.1752604657177, -154.6549340872594, -70.24018746089263, -139.50905294462717, -73.07327097389768, 34.11329896061961, 34.12284543094938, 34.11807219578449, 7411564.884211754,  nan, 0.1362360685855525,  nan,  nan, 2.7310546249438725,  nan, 130.336499925783, 3.0154362794903536e-14,  5.2078421797464043e-14,  nan, 1.1675001875197512e-14,  1.5611789068180114e-21, 3.675124142114115e-26,  3.2326082647895934e-24, 1.1675001875197512e-14,  nan, 1.3419844436872493e-18, 0.1739847220914294, 9228.618685286612, 8164.792560435752,  0.17398472209142943, 9228.618685286612,  8164.792560435752, 61.4364681556551, 173619.06375087524, 0.0035423458895972, 0.1142158883608175, 2.3772528816795795, 0.1142158883608175, 2.3772528816795795,  nan,  nan,  nan,  nan, 1.5813557465878827, 0.0001909944541371, 35.06656948900405, 128.68089284070837, -70.125, -154.625, -89.875, -179.875, -115.20595537585874, -74.46309360984914, -162.75967825785136, -67.71139956122343
2025 AUG 15 19:39:23, 808558832.1925824, 1948.4052233877107, 451.1101480599133, 2399.515371447624, 1828.662917246272, -154.58181236078508, -70.27479292085532, -139.4658892053274, -73.10286033133976, 34.04360839046427, 34.05310041123339, 34.04835440084883, 7412055.693892596,  nan, 0.1362504026878644,  nan,  nan, 2.730273310394389,  nan, 130.0938696749295, 2.8519200485640665e-14,  5.039771370671893e-14,  nan, 9.565050397005812e-15,  1.556442388099695e-21, 3.7092076294437677e-26,  3.2147243232108664e-24, 8.506462014375519e-16,  nan, 1.33355291813906e-18, 1.3455800244539766, 9159.235228627786, 615.555908357965,  0.3015461988297112, 9228.618685286612,  6559.609869649245, 61.3875366091317, 173619.06375087524, 0.0035472950771403, 0.114450136856216, 2.3795431482181586, 0.1142814517179112, 2.3772528816795795,  nan,  nan,  nan,  nan, 1.584358633226445, 0.0001887091258276, 35.03529658991326, 128.75710935771457, -70.125, -154.625, -89.875, -179.875, -115.18553305247838, -74.49741811854635, -162.67601369095863, -67.75079129433274
2025 AUG 15 19:39:24, 808558833.1934603, 1945.865695643028, 450.7949227123046, 2396.660618355332, 1825.1557147215112, -154.50808335641528, -70.3093071768565, -139.42254770225347, -73.13244626500715, 33.97394467638629, 33.98325892504547, 33.97860180071588, 7412600.805054204,  nan, 0.1362654116149595,  nan,  nan, 2.729504346727242,  nan, 129.6694374350601, 2.5832406416541436e-14,  4.600656055456281e-14,  nan, 7.096972000743788e-15,  1.5517052559320908e-21, 3.743669420630705e-26,  3.196987873636103e-24, 1.0380776409497768e-15,  nan, 1.3251632286768312e-18, 1.2514835065750778, 9159.235228627786, 736.4086111510572,  0.47724656280297595, 12253.33441635412,  4869.6785098015425, 61.33855134124749, 173619.06375087524, 0.0035522667263431, 0.1145155408267773, 2.3795431482181586, 0.114346883367475, 2.3772528816795795,  nan,  nan,  nan,  nan, 1.5873748003045565, 0.0001864483597963, 35.0039169528112, 128.83337522933425, -70.125, -154.375, -89.875, -179.875, -115.16499040772054, -74.53175982467376, -162.5920535015525, -67.79013585532067
2025 AUG 15 19:39:25, 808558834.1943383, 1943.3314122963973, 450.4789537745664, 2393.810366070964, 1821.653682488482, -154.43446039420033, -70.34386183580503, -139.3790276021996, -73.16202877962357, 33.90422950201905, 33.91356172583067, 33.908895613924855, 7412876.133861063,  nan, 0.1362790704946619,  nan,  nan, 2.7287139571009797,  nan, 129.71272079560634, 2.612999565580422e-14,  4.3493749864557524e-14,  nan, 4.700058150317547e-15,  1.5469672243496477e-21, 3.7785120605441095e-26,  3.179396557358357e-24, 1.729575889655932e-15,  nan, 1.3168153768407828e-18, 1.014222451445197, 5664.858649239218, 1225.9529640521102,  0.6269121246185944, 12253.33441635412,  3162.9051134519373, 61.28951212544429, 173619.06375087524, 0.0035572609781188, 0.1145807372372589, 2.3795431482181586, 0.1144121073145869, 2.3772528816795795,  nan,  nan,  nan,  nan, 1.590404210085616, 0.0001842119636085, 34.972431244690746, 128.90968917548636, -70.125, -154.375, -89.875, -179.875, -115.14432654555276, -74.56611877167099, -162.50779664316752, -67.82943304141108
2025 AUG 15 19:39:26, 808558835.1952162, 1940.8008307898792, 450.1637945109138, 2390.964625300793, 1818.1568507126576, -154.3606039228329, -70.3783847384557, -139.33532789915222, -73.19160777387546, 33.834525828988795, 33.8438252896895, 33.83917555933915, 7413462.788185143,  nan, 0.1362889542890485,  nan,  nan, 2.727864186920572,  nan, 129.4935134332789, 2.4840059506086008e-14,  4.4693961425529776e-14,  nan, 7.164118049934094e-15,  1.5422286952639005e-21, 3.813741804925947e-26,  3.1619494028627013e-24, 1.8245878998067456e-15,  nan, 1.308509361881309e-18, 0.9964420301408125, 5664.858649239218, 1267.988565136436,  0.43158844766329957, 10356.55990249168,  5177.730164469872, 61.240418934911865, 173619.06375087524, 0.0035622779540213, 0.1146457827347764, 2.3795431482181586, 0.1146457827347764, 2.3795431482181586,  nan,  nan,  nan,  nan, 1.593446822753293, 0.0001819997453132, 34.94084015093909, 128.98604990124585, -70.375, -153.875, -89.875, -179.875, -115.12354056455769, -74.6004948939197, -162.4232418185532, -67.86868256765902
2025 AUG 15 19:39:27, 808558836.1960942, 1938.27380917046, 449.8496025731061, 2388.123411743566, 1814.6652484676456, -154.28650191882946, -70.4128786121144, -139.29144767197909, -73.22118322834335, 33.7648235247088, 33.77408462176254, 33.76945407323567, 7413775.264754499,  nan, 0.1362960503627854,  nan,  nan, 2.726966894571874,  nan, 129.39709069318687, 2.4239867245892584e-14,  4.8422180418561016e-14,  nan, 1.09893818332311e-14,  1.5374897121758722e-21, 3.849363121257416e-26,  3.144644749171439e-24, 1.7660659868009989e-15,  nan, 1.3002451794957606e-18, 1.0240497794052574, 5664.858649239218, 1203.4052102582286,  0.25766880396163006, 10356.55990249168,  7786.686038944776, 61.19127158029547, 173619.06375087524, 0.0035673177931177, 0.1147106658141861, 2.3795431482181586, 0.1147106658141861, 2.3795431482181586,  nan,  nan,  nan,  nan, 1.5965025987324613, 0.000179811512684, 34.909144351851495, 129.06245612390128, -70.375, -153.875, -89.875, -179.875, -115.10263154562432, -74.63488824278865, -162.33838777623376, -67.90788418829935
2025 AUG 15 19:39:28, 808558837.1969721, 1935.750366022689, 449.5363757691317, 2385.2867417918205, 1811.178906525089, -154.212153804783, -70.4473431962642, -139.24738593198714, -73.25075505588278, 33.69512431254151, 33.704339735427915, 33.69973202398471, 7413859.721972749,  nan, 0.1363040635728546,  nan,  nan, 2.726083842279039,  nan, 129.30143981000444, 2.3684338143933432e-14,  5.0574169982157424e-14,  nan, 1.2742021132504e-14,  1.5327503875428691e-21, 3.8853807840441695e-26,  3.1274810777080434e-24, 5.257763346993772e-15,  nan, 1.2920228318381692e-18, 0.5286654357875066, 7525.06385212328, 3581.439589905017,  0.18700008875829333, 10356.55990249168,  8852.29874786457, 61.14207001164709, 173619.06375087524, 0.0035723806211592, 0.1147753858117758, 2.3795431482181586, 0.1147753858117758, 2.3795431482181586,  nan,  nan,  nan,  nan, 1.5995714930349352, 0.000177647075816, 34.87734458070891, 129.1389064824692, -70.375, -153.875, -89.875, -179.875, -115.0815985676196, -74.66929875129313, -162.25323330031915, -67.94703764100358
2025 AUG 15 19:39:29, 808558838.1978501, 1933.230490867232, 449.2241408685556, 2382.454631735788, 1807.697854876195, -154.13755684448168, -70.48177877593021, -139.20314172646675, -73.28032321319691, 33.62542773587361, 33.63459716081712, 33.63001244834537, 7411887.744672353,  nan, 0.1363081806901654,  nan,  nan, 2.7251461342026184,  nan, 129.14273415466826, 2.284835572427981e-14,  4.849867384525155e-14,  nan, 1.0321060658909094e-14,  1.5280108162992418e-21, 3.9217996105969023e-26,  3.1104568653683725e-24, 4.212846782271264e-15,  nan, 1.2838423159081506e-18, 0.6358738846530019, 7525.06385212328, 2814.07919859431,  0.30560951868925834, 10356.55990249168,  7031.011797728445, 61.09281407522833, 173619.06375087524, 0.0035774665754966, 0.1148399400669395, 2.3795431482181586, 0.1148399400669395, 2.3795431482181586,  nan,  nan,  nan,  nan, 1.6026534615848669, 0.0001755062442986, 34.84544155820805, 129.215399636133, -70.375, -153.875, -89.875, -179.875, -115.06044070194731, -74.70372646252235, -162.1677770637547, -67.98614264118149
2025 AUG 15 19:39:30, 808558839.1987281, 1930.714194149171, 448.91290387126895, 2379.6270980204395, 1804.222123666225, -154.06270997695665, -70.51618529338391, -139.15871411096018, -73.30988764714031, 33.55573494674337, 33.56485872324434, 33.560296834993856, 7412852.301157603,  nan, 0.1363214127939785,  nan,  nan, 2.724362540573133,  nan, 129.1189550244916, 2.2749874295467683e-14,  4.546799303807422e-14,  nan, 6.601622634208839e-15,  1.5232710957994942e-21, 3.9586245093943214e-26,  3.0935706199307778e-24, 1.200098860252059e-15,  nan, 1.275703638528705e-18, 1.2281552827559925, 3414.6296119572226, 829.8658943387113,  0.4930423352888985, 10356.55990249168,  4410.209135642505, 61.04350366835043, 173619.06375087524, 0.0035825757892021, 0.1150728351171705, 2.38183501030066, 0.1149043273756095, 2.3795431482181586,  nan,  nan,  nan,  nan, 1.605748453897473, 0.0001733888302751, 34.813436068271216, 129.29193415522192, -70.375, -153.875, -89.875, -179.875, -115.03915700405372, -74.73817131390526, -162.0820180100605, -68.02519897931984
2025 AUG 15 19:39:31, 808558840.1996061, 1928.2014911412805, 448.6026659228364, 2376.804157064117, 1800.7517440370316, -153.98761230819073, -70.55056255644077, -139.11410211987504, -73.3394483134248, 33.486047424506744, 33.495125350369406, 33.49058638743807, 7414306.3633348,  nan, 0.1363369426806068,  nan,  nan, 2.7236189513901783,  nan, 129.01312156746326, 2.2133951079812442e-14,  4.53015981242376e-14,  nan, 4.450913189955026e-15,  1.5185313297931523e-21, 3.995860472934862e-26,  3.076820874717471e-24, 1.0478961083557964e-15,  nan, 1.2676067966964457e-18, 1.2634423847624965, 2012.473662542249, 723.7233018212706,  0.5772947478103133, 7404.935714939728,  3194.474921108696, 60.99413863731749, 173619.06375087524, 0.0035877084016163, 0.1151370276736955, 2.38183501030066, 0.1151370276736955, 2.38183501030066,  nan,  nan,  nan,  nan, 1.608856421160597, 0.0001712946450176, 34.781328873954806, 129.36850864338152, -70.625, -153.375, -89.875, -179.875, -115.0177465261001, -74.77263334747961, -161.99595480725588, -68.06420636825725
2025 AUG 15 19:39:32, 808558841.200484, 1925.6924006046245, 448.29342431221033, 2373.985824916834, 1797.2867465161075, -153.91226325890557, -70.58491029837917, -139.06930473040248, -73.36900512633142, 33.416366985920206, 33.425397028225866, 33.42088200707303, 7414293.4329896355,  nan, 0.1363508825576048,  nan,  nan, 2.722848395054105,  nan, 128.9439810004453, 2.1762390602936092e-14,  4.982387261162578e-14,  nan, 6.947167046472005e-15,  1.5137916302944178e-21, 4.033512526667509e-26,  3.0602061857775134e-24, 1.3636960239862102e-15,  nan, 1.2595517936161114e-18, 1.0545311518692153, 2012.473662542249, 923.4072846158616,  0.37614500664235745, 7404.935714939728,  4887.962151421243, 60.94471893023879, 173619.06375087524, 0.0035928645424773, 0.115201051840442, 2.38183501030066, 0.115201051840442, 2.38183501030066,  nan,  nan,  nan,  nan, 1.6119773097513557, 0.0001692235015187, 34.74912078478312, 129.44512164427783, -70.625, -153.375, -89.875, -179.875, -114.99620830600436, -74.80711249961432, -161.90958621137705, -68.10316454414568
2025 AUG 15 19:39:33, 808558842.201362, 1923.186919283265, 447.9851989283035, 2371.1721182115684, 1793.8271620236533, -153.83666056521454, -70.61922867710601, -139.02432096574006, -73.39855804150176, 33.34669374435082, 33.35567888562452, 33.35118631498767, 7413744.687692339,  nan, 0.1363570334879311,  nan,  nan, 2.721951264873677,  nan, 128.87469199940625, 2.1403818263544317e-14,  5.857346845153121e-14,  nan, 1.1784463100813152e-14,  1.5090520948054871e-21, 4.071585752796475e-26,  3.0437251117434435e-24, 1.757352797633999e-15,  nan, 1.2515386285739317e-18, 0.8459264913178165, 2012.473662542249, 1166.795257717718,  0.27637523831753796, 11322.826279506551,  7973.330895179938, 60.89524439148389, 173619.06375087524, 0.0035980443533017, 0.1152649054131796, 2.38183501030066, 0.1152649054131796, 2.38183501030066,  nan,  nan,  nan,  nan, 1.6151110658904255, 0.0001671752128102, 34.71681260817997, 129.52177170280083, -70.625, -153.625, -89.875, -179.875, -114.97454137602448, -74.84160881275893, -161.82291088734434, -68.14207321710929
2025 AUG 15 19:39:34, 808558843.20224, 1920.6850692432783, 447.6779842129421, 2368.3630534562203, 1790.373021930598, -153.7608039942033, -70.6535174131733, -138.97914985444493, -73.42810700255026, 33.277029798608005, 33.28597023831686, 33.28150001846243, 7415804.893316884,  nan, 0.136370757639768,  nan,  nan, 2.721177235453151,  nan, 128.8101528870417, 2.107316466129825e-14,  6.58272377387441e-14,  nan, 1.6521360396002813e-14,  1.5043128250130012e-21, 4.110085336937879e-26,  3.027376243424185e-24, 2.2114567224433287e-15,  nan, 1.2435673089998803e-18, 0.6390529040718653, 2012.473662542249, 1439.841048268951,  0.07968449954900401, 11322.826279506551,  10960.851587829282, 60.84571492239516, 173619.06375087524, 0.0036032479706684, 0.1153285879588407, 2.38183501030066, 0.1153285879588407, 2.38183501030066,  nan,  nan,  nan,  nan, 1.6182576295387274, 0.0001651495942279, 34.68440521247433, 129.59845728012587, -70.625, -153.625, -89.875, -179.875, -114.95274475515248, -74.87612222250621, -161.735927762717, -68.18093217054819
