# lat_index, lat_min [rad], lat_max [rad], S_latcirc [km^2]
98,0.10690141668465268,0.10799224746714914,8477.14333961059
99,0.10799224746714914,0.1090830782496456,8562.857451827791
100,0.1090830782496456,0.11017390903214205,8648.561021772004
101,0.11017390903214205,0.11126473981463851,8734.25394404094
102,0.11126473981463851,0.11235557059713497,8819.936113248777
103,0.11235557059713497,0.11344640137963143,8905.607424026317
104,0.11344640137963143,0.11453723216212788,8991.267771021154
105,0.11453723216212788,0.11562806294462433,9076.917048897712
106,0.11562806294462433,0.11671889372712078,9162.555152337998
107,0.11671889372712078,0.11780972450961724,9248.18197604059
108,0.11780972450961724,0.1189005552921137,9333.797414721968
109,0.1189005552921137,0.11999138607461016,9419.401363116092
110,0.11999138607461016,0.12108221685710661,9504.993715974679
111,0.12108221685710661,0.12217304763960307,9590.574368067364
