# utc [-], et [s], MEX2TGO [km], spoint_x [km], spoint_y [km], spoint_z [km], spoint_lon [deg], spoint_lat_sph [deg], spoint_lat [deg], emission_MEX [deg], emission_TGO [deg], spoint2MEX [km], spoint2TGO [km], lon_midpoint [deg], lat_midpoint [deg] 
2025 OCT 13 00:55:09, 813588978.0532967, 3164.178636292658, -1627.3694151972247, 961.5847380464157, -2804.939814754674, 149.42188595573032, -55.732119171112956, -56.024484035450186, 84.15665247939836, 84.16657576103626, 1840.7353243857765, 1339.5837263933922, 147.51080298980833, -52.17606145579121
2025 OCT 13 00:55:10, 813588979.0541747, 3170.7480224585206, -1628.0351251791822, 960.5450964081609, -2804.9100728753597, 149.45928100153972, -55.73110918348861, -56.02357488677024, 84.20565391570206, 84.21501835973265, 1844.785187042677, 1341.8661593246413, 147.53615269073998, -52.16086949560006
2025 OCT 13 00:55:11, 813588980.0550526, 3177.315299359926, -1628.7099759247785, 959.5152662871728, -2804.871231254487, 149.49655866714633, -55.72982028199839, -56.02238770776013, 84.25420816185327, 84.26369650189997, 1848.818826925646, 1344.1645484259307, 147.56149732981578, -52.14566019307132
2025 OCT 13 00:55:12, 813588981.0559306, 3183.8804631150265, -1629.3850778694919, 958.4844031269257, -2804.8320596124754, 149.5338648644865, -55.72852124898991, -56.021190486062714, 84.30264715255855, 84.31225990674794, 1852.8526927845467, 1346.4624357179675, 147.58683696409332, -52.13043349286889
2025 OCT 13 00:55:13, 813588982.0568086, 3190.4435096736524, -1630.0604439368437, 957.4525211291462, -2804.792544416925, 149.57119940471475, -55.72721166092839, -56.01998280910393, 84.35097115672596, 84.36070972380206, 1856.886757592209, 1348.7598416811077, 147.6121716165185, -52.11518936525104
2025 OCT 13 00:55:14, 813588983.0576866, 3197.0044322055924, -1630.736084846885, 956.4196335606041, -2804.752673722902, 149.60856208809622, -55.72589115142256, -56.01876431286168, 84.39918049387995, 84.40904703969765, 1860.9209959514267, 1351.0567834579642, 147.6375012635863, -52.09992778017797
2025 OCT 13 00:55:15, 813588984.0585645, 3203.563226757023, -1631.4119743989056, 955.3857053243629, -2804.712473097228, 149.64595341288998, -55.72456050182916, -56.01753577945159, 84.44727689451081, 84.45727115991387, 1864.955454667692, 1353.3532071335298, 147.66282594699788, -52.0846486977372
2025 OCT 13 00:55:16, 813588985.0594424, 3210.1198885766853, -1632.0790558963765, 954.3396396185497, -2804.6808811621045, 149.68352512217788, -55.7234935974635, -56.01657029942725, 84.49559531440718, 84.50502982196836, 1869.0069353716428, 1355.6323030239014, 147.68814570680289, -52.06935207978022
2025 OCT 13 00:55:17, 813588986.0603204, 3216.6744134063947, -1632.755360883082, 953.3035165166858, -2804.6401001483755, 149.72097566269412, -55.72214509772401, -56.01532411354477, 84.54347062576838, 84.55302675613106, 1873.0419841657572, 1357.927518781318, 147.7134605226737, -52.054037892735465
2025 OCT 13 00:55:18, 813588987.0611984, 3223.226794620763, -1633.4319519743003, 952.266391330616, -2804.598950658045, 149.75845436267485, -55.72078525886905, -56.01406671551609, 84.59123382868587, 84.60091362068835, 1877.0771763266002, 1360.2222715506887, 147.73877045687829, -52.03870609466229
2025 OCT 13 00:55:19, 813588988.0620763, 3229.7770293142144, -1634.108815362225, 951.228247323, -2804.557444932659, 149.79596143045424, -55.71941448233217, -56.01279848033717, 84.63888611574981, 84.64869043150104, 1881.1125319911573, 1362.5165331499638, 147.7640754854979, -52.02335665638595
2025 OCT 13 00:55:20, 813588989.0629543, 3236.3251116339693, -1634.785938122194, 950.1890644384979, -2804.515595804078, 149.83349717619987, -55.71803313970127, -56.011519801042844, 84.68642871774085, 84.69635716501573, 1885.1480749205853, 1364.8102733296096, 147.78937567098234, -52.007989532873204
2025 OCT 13 00:55:21, 813588990.0638323, 3242.8710368137968, -1635.454330759543, 949.1377962732848, -2804.482277359236, 149.87121435034769, -55.71691311401822, -56.01050175356857, 84.7341918777618, 84.74356709694565, 1889.2005099816993, 1367.0867790412126, 147.81467098928744, -51.99260469408288
2025 OCT 13 00:55:22, 813588991.0647103, 3249.414799007907, -1636.1319042574964, 948.0964410211485, -2804.4398064441043, 149.9088091068287, -55.7155126262886, -56.009204165922284, 84.78151925693042, 84.79101321356437, 1893.2365490215927, 1369.379332325836, 147.83996150362617, -51.97720209612617
2025 OCT 13 00:55:23, 813588992.0655882, 3255.9563954175214, -1636.8097701554625, 947.0540833331265, -2804.396956844891, 149.94643203864194, -55.71410050848961, -56.0078950593145, 84.82873781202727, 84.83835209260273, 1897.2727030623046, 1371.6714141289374, 147.86524719066426, -51.96178170911077
