# utc [-], et [s], MEX2TGO [km], spoint_x [km], spoint_y [km], spoint_z [km], spoint_lon [deg], spoint_lat_sph [deg], spoint_lat [deg], emission_MEX [deg], emission_TGO [deg], spoint2MEX [km], spoint2TGO [km], lon_midpoint [deg], lat_midpoint [deg] 
2025 SEP 30 19:40:09, 812533278.5468967, 957.6853648876655, -908.9428008829187, 3258.3445473820398, -300.0846523189985, 105.58689449927078, -5.0180116963483, -5.069666094848259, 36.53214232291931, 36.54001639922128, 982.617671830129, 470.98235614324597, 106.74779430059749, -6.942182674913131
2025 SEP 30 19:40:10, 812533279.5502411, 952.7418590108051, -909.1061771474162, 3258.23738915479, -300.7446889155775, 105.59004768815906, -5.029040669417687, -5.080835010188549, 36.29256907683883, 36.30028281797573, 981.6641781531861, 469.7182132873492, 106.75182852473547, -6.9392766143606455
2025 SEP 30 19:40:11, 812533280.5535856, 947.8244105629695, -909.283673232546, 3258.1250606769863, -301.41629150810104, 105.59345489059211, -5.040534669377034, -5.092284548646255, 36.05186122901432, 36.06182034516587, 980.7183471233471, 468.47365402347623, 106.75585941018554, -6.936372248922458
2025 SEP 30 19:40:12, 812533281.5569301, 942.9334441989264, -909.4476346534816, 3258.0165158812133, -302.0861973269404, 105.59662416753048, -5.051719491089761, -5.103618352288274, 35.81174645703232, 35.82156097115352, 979.7960476281303, 467.2329422026875, 106.75988699572954, -6.933469581629058
2025 SEP 30 19:40:13, 812533282.5602746, 938.069390898721, -909.6119692681775, 3257.907274252695, -302.7607970130686, 105.59980282055403, -5.062985621879363, -5.115032211691533, 35.57139857750525, 35.58104190818196, 978.8895919499423, 466.0038849987551, 106.76391130507785, -6.93056861305689
2025 SEP 30 19:40:14, 812533283.563619, 933.23269049601, -909.7767619619927, 3257.797296932852, -303.44021869803714, 105.60299241370295, -5.074335216249491, -5.126528317788178, 35.33082456395676, 35.34030046443116, 977.99898753043, 464.7865904579677, 106.7679323383479, -6.927669319162542
2025 SEP 30 19:40:15, 812533284.5669636, 928.4237892748519, -909.9420126594192, 3257.6865821187325, -304.12444784903477, 105.60619295619567, -5.0857680054475765, -5.138106443813474, 35.09004268061258, 35.09935485034256, 977.1243521213447, 463.58106284923235, 106.77195011176904, -6.924771701043872
2025 SEP 30 19:40:16, 812533285.5703081, 923.6431376475332, -910.1077342402662, 3257.5751225793665, -304.81348892723605, 105.60940469337676, -5.097284051467703, -5.149766684058178, 34.84907019271699, 34.85822704643391, 976.2657814661247, 462.3873227965846, 106.77596463605364, -6.921875744708864
2025 SEP 30 19:40:17, 812533286.5736525, 918.8911948111906, -910.2739208079415, 3257.4629192661155, -305.5073151495193, 105.61262752699093, -5.108882891883187, -5.161508602608172, 34.60792728646323, 34.61693414578285, 975.4233922483753, 461.2053690123261, 106.77997592459006, -6.9189814348744525
2025 SEP 30 19:40:18, 812533287.576997, 914.1684249572273, -910.4477014907591, 3257.348470331334, -306.2007328956929, 105.61598462050985, -5.120745642707351, -5.173337153460806, 34.366653154145595, 34.37546278182555, 974.5974604044084, 460.03504573808266, 106.78398399000844, -6.916088773757802
